contact_id,email,full_name,phone,country,address_line1,city,state,postal_code,company_name,department,job_title,attributes_json,created_at,updated_at,etl_batch_id,source_system,source_record_id
3075446f-e8fc-51e8-a651-75838df40ed1,ALFKI@outlook.com,Mona El-Sayed,01523229970,Egypt,167 drb zkrya,Banha,Qalyubiya,82411.0,Alfreds Futterkiste,,Sales Representative,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_ALFKI
4956464d-d7e1-5cfd-9a37-7baa2c9b7ac3,ANATR@yahoo.com,Doaa Farouk,01156923834,Egypt,182 Street alnsrya,Zagazig,Sharqia,90948.0,Ana Trujillo Emparedados y helados,,Owner,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_ANATR
ab7ff037-62bd-5030-89fc-c0e2f9639bfb,ANTON+test@yahoo.com,Doaa Yassin,01597543046,Egypt,53 Street mdrsh alshhyd abw bkr,Banha,Qalyubiya,11428.0,Antonio Moreno Taquería,,Senior Owner,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_ANTON
e3ac0b4b-0654-55a4-9db7-2036dfd91484,AUTUMN.GOMEZ@X.DUMMYJSON.COM,Mostafa Mahmoud,01069631885,Egypt,14 Street alshhyd farwq alsyd,Kafr El Sheikh,Kafr El Sheikh,319.0,Kuhlman LLC,Product Management,Business Analyst,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,dummyjson,dj_user_92
2581eaef-5a79-51fe-86c1-209853d695e8,BERGS@outlook.com,Hany Saad,01189607814,Egypt,161 Street fthy hmad,Mansoura,Dakahlia,85261.0,Berglunds snabbköp,,Order Administrator,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_BERGS
a1f5e79d-4b43-54c8-9e2c-347c0dea335b,BLAUS@gmail.com,Mona Mostafa,01034614828,Egypt,175 Street mdrsh kwm alatrwn althanwya,Banha,Qalyubiya,2046.0,Blauer See Delikatessen,,Sales Representative,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_BLAUS
ce14ba7a-1417-5605-8a51-74fc0b2e03b3,BLONP@gmail.com,Mahmoud Saad,01253349757,Egypt,100 Street jmal araba,Banha,Qalyubiya,47136.0,Blondesddsl père et fils,,Marketing Manager,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_BLONP
815e4f54-d64d-5ce0-8819-85218e5a17a5,BONAP@yahoo.com,Sami Farouk,01288392334,Egypt,119 Street abrahym alasqlany,Cairo,Cairo,4542.0,Bon app',,Sr. Owner,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_BONAP
d5c85bb8-b881-546c-85db-4b8bff5d283e,BOTTM@outlook.com,Aya Saad,01153390619,Egypt,138 Street almkhbz alala,Giza,Giza,44150.0,Bottom-Dollar Markets,,Accounting Manager,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_BOTTM
e937ba95-387f-59e2-9a24-163eeb81c728,BSBEV@gmail.com,Nadia Saad,01259128995,Egypt,20 Street abd allh aldjwa,Giza,Giza,39697.0,B's Beverages,,Sales Representative,,2026-05-20 19:35:54,,747aa92b-0f35-40de-b8cf-7390f4acbf48,northwind,nw_cust_BSBEV
